,function_value,cost,info,colsample_bylevel,colsample_bytree,eta,max_depth,min_child_weight,reg_alpha,reg_lambda,subsample_per_it
755,0.0509193776520509,0.29122090339660645,"{'train_loss': 0.06271777003484325, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.8581354715526143,0.82116480080946,0.5118478756295208,6,34.62244504666414,35.574048776774404,0.01207816998610267,0.8302775291803421
756,0.16124469589816126,0.20421528816223145,"{'train_loss': 0.1400696864111498, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.42439224550645765,0.07908811871916645,0.0017808573346476926,11,2.7237299070158074,0.003490943643562288,1.1346463601226249,0.513662519244192
757,0.35502121640735507,0.18337464332580566,"{'train_loss': 0.33240418118466897, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.6866302511646382,0.05145879459699632,0.003721243149037713,4,48.538921799302145,5.659495083155661,63.894250139639446,0.6244357907256541
758,0.3437057991513437,0.17041563987731934,"{'train_loss': 0.32055749128919864, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.4040107330138432,0.058902420786981165,0.0065782990320871265,2,47.41121437959279,9.18995453425767,6.143889167493026,0.5963152151411695
759,0.22206506364922207,0.17701172828674316,"{'train_loss': 0.23275261324041807, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.5106845972763023,0.15895047808398682,0.1631327905990988,8,48.28946995297976,25.644449925387576,0.001283068541874453,0.6679180132161479
760,0.032531824611032545,0.21387124061584473,"{'train_loss': 0.022299651567944223, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.19765618580558802,0.40139696905674344,0.3772867351250563,5,4.651250297859366,2.1393917667491498,0.09470769336778002,0.7490307483997062
761,0.04384724186704381,0.5493857860565186,"{'train_loss': 0.054355400696864065, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.9653390348698048,0.955836089364603,0.05378038429762217,8,19.571204521014916,0.004325582673415214,8.436010425770128,0.4359370362098589
762,0.2277227722772277,0.1837296485900879,"{'train_loss': 0.21045296167247385, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.3012735313618122,0.11968748529899662,0.003896665227439438,14,23.687218178341187,6.998062808197173,13.386915795331708,0.8764815471593171
763,0.09476661951909482,0.19731426239013672,"{'train_loss': 0.09616724738675964, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.11242496055523732,0.6510774559582629,0.017347828259926083,10,1.7920054528902791,10.6340338575272,0.7818579039926288,0.14044155958330215
764,0.3125884016973126,0.18695974349975586,"{'train_loss': 0.3142857142857143, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.15287224622675763,0.5323452933717857,0.0025392039671623978,11,86.26641111942884,0.031296384948865226,0.0020569094230001527,0.6694161545264343
765,0.4837340876944838,0.16898703575134277,"{'train_loss': 0.4843205574912892, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.02395137125051853,0.3597099819232284,0.5640761596128835,2,5.966771025522362,499.9032867806624,5.879733533582778,0.39648576338652464
766,0.11173974540311171,0.24839353561401367,"{'train_loss': 0.09059233449477355, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.7187862424677706,0.20621723702698994,0.1955093357234329,8,28.219823615098353,0.5187036049321995,1.0574597291499548,0.5834832958093645
767,0.4837340876944838,0.1930551528930664,"{'train_loss': 0.4843205574912892, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.5688533370384654,0.2283881410288624,0.03354260014979721,7,90.4073809580413,161.37941754161145,22.75743254210603,0.32610202873572963
768,0.3338048090523338,0.1801772117614746,"{'train_loss': 0.2989547038327526, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.7966325676729047,0.05338329462987547,0.022651500497043814,10,26.430011401097264,8.34910673205019,0.219133824147444,0.37013950863690337
769,0.3125884016973126,0.2824070453643799,"{'train_loss': 0.3142857142857143, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.5120091240512951,0.7160323334282164,0.0019241283900960293,5,94.96617813305355,5.030501341156245,105.01911702892625,0.7164260139998164
