,dataset,algorithm,random_state,process_time,training time (s),target_noise,feature_noise,model_size,mse_train,mae_train,r2_train,mse_test,mae_test,r2_test
358,1089_USCrime,MMTGP,6265,2438.287647367,2463.441880464554,0.0,0.0,129,20.822458729400104,3.391546787559177,0.9868574479097568,257.96953794199254,13.109095897979843,0.8161618994509399
359,1089_USCrime,MMTGP,860,1779.532993608,1820.9195799827576,0.0,0.0,143,19.605055454495343,3.564581395661721,0.9883805171384269,446.68068580110236,17.020102325479584,0.6178655397339714
430,1096_FacultySalaries,MMTGP,11284,1057.01310217,1105.9947535991669,0.0,0.0,121,0.19688414271354665,0.34097959563287783,0.9918096987322709,0.10589243041718095,0.2785192828539111,0.9856649916746446
431,1096_FacultySalaries,MMTGP,11964,1185.474013103,1200.7065794467926,0.0,0.0,62,0.04107077540617133,0.14236298133781614,0.9982640930333433,1.6296217719190247,0.4806041492721943,0.867227793093502
432,1096_FacultySalaries,MMTGP,15795,1317.8751197289998,1458.2070579528809,0.0,0.0,85,0.01632012837583492,0.09726718812903427,0.9987946352203608,19.532931325389523,1.6730946983681627,0.5183842631316324
433,1096_FacultySalaries,MMTGP,21575,1023.695582001,1064.012006521225,0.0,0.0,133,0.417219502276052,0.47552310831689015,0.965618137815612,4.0076636937992305,1.3192917133149569,0.904536554582091
434,1096_FacultySalaries,MMTGP,22118,1165.02882876,1244.495496749878,0.0,0.0,116,0.3254325896587041,0.4693435316498251,0.9808878939490838,2.325540322983993,1.0465882922978846,0.9237450879822738
435,1096_FacultySalaries,MMTGP,23654,821.0924215379999,1270.5223052501678,0.0,0.0,115,0.22063433162867144,0.3397600759292748,0.9907717725884039,0.1566626278454176,0.3640105254206996,0.9866949512586677
436,1096_FacultySalaries,MMTGP,29802,1078.0367010619998,1545.027421951294,0.0,0.0,136,0.8456052550447926,0.7019077398512569,0.9668980820557888,0.9496032444571256,0.8737305188387737,0.8740421406289374
437,1096_FacultySalaries,MMTGP,5390,671.596286433,676.9744727611542,0.0,0.0,71,0.04020430613829948,0.1512227333915663,0.9982021444269202,24.093326908184054,1.7821358921217079,-0.5469439781840704
438,1096_FacultySalaries,MMTGP,6265,1324.9385586879998,1340.0402071475983,0.0,0.0,107,0.39570512970854405,0.31541572598573264,0.9813134027019651,0.842846768912212,0.5528322792552433,0.9573596035039115
439,1096_FacultySalaries,MMTGP,860,1058.887922656,1088.5544822216034,0.0,0.0,147,0.6302460323560855,0.554946962119727,0.9725801131251702,3.9130926375337944,1.5938799260447742,0.7373179708062219
510,1191_BNG_pbc,MMTGP,11284,5346.394748183,5394.078102827072,0.0,0.0,111,797089.4870816284,701.5340628286443,0.3400586293518578,802536.6631093477,704.5341276848412,0.34118418310289544
511,1191_BNG_pbc,MMTGP,11964,5776.899216633,5827.101099014282,0.0,0.0,129,819997.5480003029,713.4285795963306,0.34337731748900013,809473.2965734914,710.9562863192706,0.33708523492398446
512,1191_BNG_pbc,MMTGP,15795,4504.717377753,4542.6330399513245,0.0,0.0,174,801894.2058986408,701.9737503167637,0.3550394421603076,802109.1542627548,702.1589361706258,0.34119234693994194
513,1191_BNG_pbc,MMTGP,21575,4838.572515913,6328.215083122253,0.0,0.0,144,805198.0713635855,704.4221298147799,0.34780946473679175,804303.2065175404,706.5682094141313,0.3409437599410099
514,1191_BNG_pbc,MMTGP,22118,4236.446213029,4302.913556098938,0.0,0.0,157,812941.172964738,708.4421779657657,0.3400586716944817,798274.8151742835,704.9624459487005,0.34411233464437907
515,1191_BNG_pbc,MMTGP,23654,4467.790358865999,4505.538954734802,0.0,0.0,143,781208.600352985,699.3049240337134,0.3587340672889471,805133.3053265363,704.5148190132904,0.3387736404715853
516,1191_BNG_pbc,MMTGP,29802,3833.218122265,4610.211669206619,0.0,0.0,133,797474.201003973,699.8730034845022,0.34663309800557107,804529.2063267649,705.6167715875673,0.3375282692846583
517,1191_BNG_pbc,MMTGP,5390,5461.8182572079995,5499.108447551727,0.0,0.0,149,783530.6213141028,695.4438528615095,0.3469331304010106,799678.892225602,701.445857086139,0.34091187846464355
518,1191_BNG_pbc,MMTGP,6265,4730.631168676,4763.465208768845,0.0,0.0,137,804380.4300470302,707.837015409445,0.3296679629415211,810832.6764839109,710.3865577731893,0.33399743046394215
519,1191_BNG_pbc,MMTGP,860,4131.034506925,4387.7422432899475,0.0,0.0,134,802326.1760278089,705.4096012639875,0.33020343382781403,807313.3058505493,706.0212199579518,0.3398773600296995
590,1193_BNG_lowbwt,MMTGP,11284,6107.9209933209995,6164.670911312103,0.0,0.0,153,218335.27176416502,373.271548183171,0.5845459454140325,215488.59458173104,375.0417542817107,0.5956115216706013
591,1193_BNG_lowbwt,MMTGP,11964,4953.7011364909995,4993.319157123566,0.0,0.0,132,211132.20821692862,367.6123789041297,0.597858225300204,209902.33582320582,368.7191460566115,0.597471075632666
592,1193_BNG_lowbwt,MMTGP,15795,5252.479737929,5305.417587757111,0.0,0.0,120,212053.67025251035,372.3988936166747,0.5946900442775185,219038.14849525914,379.0543331802069,0.588412745277
593,1193_BNG_lowbwt,MMTGP,21575,5077.460802322999,5181.644718408585,0.0,0.0,149,209932.01051908065,369.84018070832235,0.5995064208626807,210145.62806744134,367.84824862219216,0.5920195971896001
594,1193_BNG_lowbwt,MMTGP,22118,4572.614683506,4767.1591675281525,0.0,0.0,155,206855.70051444537,367.5954544726234,0.6094765827240926,217649.2973336867,376.22540564017436,0.5888711884874758
595,1193_BNG_lowbwt,MMTGP,23654,3797.706559016,3828.539852142334,0.0,0.0,143,212349.99297552882,369.88283920980814,0.5995282331461478,213423.54815163827,372.14793002944884,0.5960978728539066
596,1193_BNG_lowbwt,MMTGP,29802,3719.699625064,3795.970100879669,0.0,0.0,182,210670.17153199867,368.3257409776042,0.5992983891277351,212184.21866368788,370.1846398495321,0.598050793379573
597,1193_BNG_lowbwt,MMTGP,5390,4269.146155146,4298.558102846146,0.0,0.0,169,212951.03486635973,371.0723637177881,0.5931438961994806,210618.21536812762,371.58214707845144,0.5982145898983225
598,1193_BNG_lowbwt,MMTGP,6265,4418.248278023,4491.508524894714,0.0,0.0,186,209038.86377356393,368.5882582834736,0.602528785034451,214552.98952831604,371.9839815265683,0.5881089271647739
599,1193_BNG_lowbwt,MMTGP,860,4931.6548417369995,4972.612677574158,0.0,0.0,165,217281.95404726037,379.21472089218776,0.5957807407973842,212474.16413453833,373.3553544085218,0.5910135791634668
670,1196_BNG_pharynx,MMTGP,11284,3783.4320640879996,3804.315043449402,0.0,0.0,140,90021.0755108165,224.68754138685176,0.4863688733973306,89239.70664714709,222.61601467664318,0.48735895587437383
