,dataset,algorithm,random_state,process_time,training time (s),target_noise,feature_noise,model_size,mse_train,mae_train,r2_train,mse_test,mae_test,r2_test
253,1030_ERA,MAPMX-GP,21575,356.053739478,356.4144127368927,0.0,0.0,131,2.3880044215184433,1.2442189140443782,0.3996357877174517,2.2833794839931914,1.177763608136333,0.3957037031958094
254,1030_ERA,MAPMX-GP,22118,368.730546147,371.4352922439575,0.0,0.0,286,2.359415780705784,1.208928663445152,0.39669119594412305,2.2911910623574157,1.2506233419419759,0.42277840813055867
255,1030_ERA,MAPMX-GP,23654,352.22087422000004,352.22876501083374,0.0,0.0,266,2.2339465405932577,1.1983263102739907,0.4233591739383967,2.6345814013342657,1.2997087569675154,0.3443052759247721
256,1030_ERA,MAPMX-GP,29802,353.083080884,353.0931930541992,0.0,0.0,110,2.3786978083558483,1.2411516366181972,0.37162097255636806,2.3282922528612637,1.2206167912377566,0.46356470586823784
257,1030_ERA,MAPMX-GP,5390,363.24501937900004,364.86009311676025,0.0,0.0,75,2.3098550086273852,1.2126415199012375,0.4057169819285894,2.542902029557569,1.2948993004392515,0.37077812986037095
258,1030_ERA,MAPMX-GP,6265,355.723675943,355.82193517684937,0.0,0.0,167,2.2864734283462247,1.2047319094841287,0.4168481961257079,2.5540202293454266,1.269775935050956,0.35318728008910794
259,1030_ERA,MAPMX-GP,860,356.83941945000004,357.2429780960083,0.0,0.0,128,2.411378286830317,1.2299675455607115,0.38654982909326474,2.258391585639252,1.234149018881724,0.41267008662283733
330,1089_USCrime,MAPMX-GP,11284,709.3062880680001,710.2998974323273,0.0,0.0,193,1.3335030823315868,0.8556780977067344,0.9990289395016025,493.0583372756144,16.875718812141866,0.7551609012521605
331,1089_USCrime,MAPMX-GP,11964,724.8278996600001,726.3450741767883,0.0,0.0,163,0.5086366810536288,0.6191059090396672,0.9996587161187522,542.8905382145297,19.210331421357598,0.6161716582649208
332,1089_USCrime,MAPMX-GP,15795,715.98035962,719.2334356307983,0.0,0.0,159,0.5097598728090418,0.5282325968652088,0.9996333502564727,371.89714482873836,13.755845122986855,0.8066134309705647
333,1089_USCrime,MAPMX-GP,21575,699.9837824900001,702.5890412330627,0.0,0.0,121,1.3338794019503393,0.8884287574547557,0.9990073095286068,397.49710776251436,17.595532875170733,0.8171089860792148
334,1089_USCrime,MAPMX-GP,22118,719.930510356,723.1677572727203,0.0,0.0,150,1.8723359241184636,0.9335524452543978,0.9988771480471869,317.59314184744306,14.89922143758053,0.7434569725018971
335,1089_USCrime,MAPMX-GP,23654,762.160969707,762.8218605518341,0.0,0.0,160,0.47047394088119987,0.5204317659723643,0.9996841141482938,607.5799127439359,20.117311804996287,0.5419364751594122
336,1089_USCrime,MAPMX-GP,29802,725.162026366,725.5090198516846,0.0,0.0,223,0.7896148151416652,0.7035455975207294,0.999417230000501,383.83432026430637,15.175148342450719,0.8093294807972178
337,1089_USCrime,MAPMX-GP,5390,707.1059823659999,707.0996191501617,0.0,0.0,152,1.4714166267025495,0.8627230731173593,0.9990416665154709,222.27098998202004,11.758229025740695,0.8609955634419897
338,1089_USCrime,MAPMX-GP,6265,707.884733686,707.8752439022064,0.0,0.0,192,1.4320186899210838,0.8577110153246443,0.9990961499565891,775.4386973738768,20.543950911783444,0.44739530738894384
339,1089_USCrime,MAPMX-GP,860,761.423035671,761.388350725174,0.0,0.0,175,1.3699274752907786,0.8188257363802612,0.999188074277184,198.10191800468144,11.152637079931479,0.8305241934098482
410,1096_FacultySalaries,MAPMX-GP,11284,316.380171204,318.1123480796814,0.0,0.0,227,0.01366239173258302,0.07238455467419279,0.9994316499907746,19.905045638084296,1.801007825476758,-1.6946118227183589
411,1096_FacultySalaries,MAPMX-GP,11964,320.132817924,321.13456439971924,0.0,0.0,171,0.00804690913018493,0.05124628928364749,0.9996598874630197,1.5518667201992562,0.3880204221193597,0.873562827389715
412,1096_FacultySalaries,MAPMX-GP,15795,304.029298812,304.52737069129944,0.0,0.0,34,0.004062023755667526,0.026403991053190776,0.9996999888569266,32.682006132718,2.0165860302878214,0.19417274326429856
413,1096_FacultySalaries,MAPMX-GP,21575,316.917814765,317.395530462265,0.0,0.0,174,0.009683699060381131,0.053707596369655164,0.9992019941428605,12.080065463418116,1.081903271589041,0.7122501392030343
414,1096_FacultySalaries,MAPMX-GP,22118,311.263160612,311.9105529785156,0.0,0.0,59,0.004303584365481377,0.026920619789883724,0.9997472577627262,0.0003911308593468008,0.017519409097752386,0.9999871747443069
415,1096_FacultySalaries,MAPMX-GP,23654,318.582940643,321.0140709877014,0.0,0.0,424,0.016814643855347023,0.0906363230904776,0.9992967125460633,0.34083676161246423,0.2902510362252494,0.9710534044496794
416,1096_FacultySalaries,MAPMX-GP,29802,313.58971776600004,313.6226167678833,0.0,0.0,73,0.005201470955210758,0.03826615934771363,0.9997963841121831,0.002004026057989179,0.039822087899402996,0.9997341807393124
417,1096_FacultySalaries,MAPMX-GP,5390,305.856019393,305.86682963371277,0.0,0.0,65,0.004145503565956866,0.02379195709743237,0.9998146214322505,32.83102516426743,1.9226852102030387,-1.1079594723060655
418,1096_FacultySalaries,MAPMX-GP,6265,312.260758462,312.9293649196625,0.0,0.0,133,0.0032173351148092285,0.03377396117829924,0.9998480660442599,0.11618512843441427,0.2567147059016905,0.9941220870434299
419,1096_FacultySalaries,MAPMX-GP,860,317.720538635,317.72401332855225,0.0,0.0,229,0.004125580754869937,0.039858017001605496,0.9998205098457048,3.12949338724345,0.9014530221334536,0.7899202115931201
490,1191_BNG_pbc,MAPMX-GP,11284,2468.6342432789997,2468.697118997574,0.0,0.0,251,794524.6313848816,701.1964034616055,0.34218217308372045,805587.7685306713,708.1190563964034,0.3386794794513508
491,1191_BNG_pbc,MAPMX-GP,11964,2328.610857601,2337.4199318885803,0.0,0.0,217,815612.7318758644,709.0590922462495,0.34688851058094006,804103.9729206659,706.5405477752854,0.3414824200355835
492,1191_BNG_pbc,MAPMX-GP,15795,2131.8317462229998,2131.780940771103,0.0,0.0,167,799435.5461628156,703.357217349131,0.35701693313491656,802001.7012705782,704.1525164205506,0.34128060282533357
493,1191_BNG_pbc,MAPMX-GP,21575,2487.6027647299998,2487.6445915699005,0.0,0.0,217,799534.90235754,702.3900950241841,0.3523964916519011,802716.6417133132,705.7559406445677,0.34224381124754555
494,1191_BNG_pbc,MAPMX-GP,22118,2312.250910079,2313.7999470233917,0.0,0.0,263,810291.3798248785,708.2088105767851,0.34220975969765954,798647.7801705496,704.7714518201872,0.3438058948870293
495,1191_BNG_pbc,MAPMX-GP,23654,1753.513175965,1754.725337266922,0.0,0.0,222,780891.8663191239,696.9978069721506,0.3589940628209388,800205.9057154676,701.7020406786617,0.34282033247303867
496,1191_BNG_pbc,MAPMX-GP,29802,2276.757583653,2277.5027446746826,0.0,0.0,310,797230.6291098447,700.836964474673,0.34683265532501684,809643.6471020851,710.3129104972445,0.3333168964650973
497,1191_BNG_pbc,MAPMX-GP,5390,2336.6383323299997,2336.8040504455566,0.0,0.0,223,782738.0451637544,696.4723913694288,0.347593736650909,804356.3263447648,705.2919200125468,0.3370567795028284
498,1191_BNG_pbc,MAPMX-GP,6265,1737.87027724,1738.0648415088654,0.0,0.0,279,796295.4105514864,700.3536063513338,0.33640563007719293,803753.9850589271,704.8052425991888,0.3398117332353051
499,1191_BNG_pbc,MAPMX-GP,860,2357.071400547,2357.086183309555,0.0,0.0,157,800125.4219390225,701.8332985698972,0.3320406635925919,807390.4277740832,704.3661383436399,0.3398142990998301
570,1193_BNG_lowbwt,MAPMX-GP,11284,2116.824296933,2116.8088591098785,0.0,0.0,251,217012.33485496207,372.78021160202655,0.5870632642991069,212618.67882354802,372.0935412139453,0.6009972399664483
571,1193_BNG_lowbwt,MAPMX-GP,11964,2245.485188298,2245.4467916488647,0.0,0.0,265,210341.41694680846,366.07838756086926,0.5993644389066874,211793.5732329629,368.91541286245854,0.5938442567252578
572,1193_BNG_lowbwt,MAPMX-GP,15795,1386.4585245810001,1386.5338711738586,0.0,0.0,383,210408.23638223502,369.12243271484806,0.5978350534080439,217992.02924776636,375.3184220951559,0.5903784729465698
