,dataset,algorithm,random_state,process_time,training time (s),target_noise,feature_noise,model_size,mse_train,mae_train,r2_train,mse_test,mae_test,r2_test
239,1030_ERA,PSTree,860,460.963434599,461.5814745426178,0.0,0.0,558,2.4285587021183814,1.2414984911736808,0.38217916325776635,2.137712635400488,1.2056501446799062,0.4440545275855492
290,1089_USCrime,PSTree,11284,266.55092024600003,266.6087944507599,0.0,0.0,238,36.1065489231374,4.3497959109275435,0.9737071148486508,385.658760694329,15.342555900414403,0.8084925530022505
291,1089_USCrime,PSTree,11964,279.996443557,280.02390027046204,0.0,0.0,380,43.133411227361975,5.494125873126944,0.971058442020668,637.4495416329642,21.857826188438064,0.5493176187791982
292,1089_USCrime,PSTree,15795,252.62980977200002,252.91864585876465,0.0,0.0,508,2.420293328211266,1.2845035069891453,0.9982591804977519,492.97953042690483,16.410689823638037,0.7436505729698353
293,1089_USCrime,PSTree,21575,276.799747768,276.9009702205658,0.0,0.0,267,37.21985940853117,4.504150610403651,0.9723004945368986,372.73855269137334,15.800584110880443,0.828500558877475
294,1089_USCrime,PSTree,22118,258.30972160700003,258.2956371307373,0.0,0.0,403,1.3186026681972531,0.9096161739536496,0.999209225459012,440.5188932586307,17.75117440722497,0.6441609227161194
295,1089_USCrime,PSTree,23654,241.769790793,252.27595686912537,0.0,0.0,232,53.24382185765914,5.676747811128844,0.9642510061575386,728.2522248358472,21.51312144721203,0.4509598258856563
296,1089_USCrime,PSTree,29802,243.838950649,243.92051482200623,0.0,0.0,242,7.393978668100362,1.9709107079771384,0.9945429228757166,546.8892572564874,19.876875490121723,0.7283315922460643
297,1089_USCrime,PSTree,5390,254.77952161,254.80427169799805,0.0,0.0,234,54.02805467952063,5.252208979371728,0.9648115340252817,349.86003634597637,16.125290873478043,0.7812035784320239
298,1089_USCrime,PSTree,6265,251.421250845,251.53348422050476,0.0,0.0,628,0.17007382988113404,0.32901450543622923,0.999892654167433,619.4904385779242,16.973136812849607,0.558529482027144
299,1089_USCrime,PSTree,860,251.939324403,252.03411746025085,0.0,0.0,557,0.7951718689127938,0.7499827575093949,0.9995287192161082,521.3995830603413,20.356962594367207,0.5539436680626584
350,1096_FacultySalaries,PSTree,11284,335.29358684100004,335.3643500804901,0.0,0.0,220,0.592580896088807,0.6135456898687277,0.9753488727046462,0.3024739648932945,0.4683253419760055,0.9590530995665474
351,1096_FacultySalaries,PSTree,11964,354.46375049,356.6032407283783,0.0,0.0,305,0.6156477396040154,0.5756545896017382,0.9739788891342794,1.430316181004043,0.7060284020797934,0.8834660660538737
352,1096_FacultySalaries,PSTree,15795,327.204436106,327.2885503768921,0.0,0.0,77,0.006973125293521437,0.05070745141085424,0.9994849820148923,31.213727865428947,1.9223752314550866,0.2303754978764062
353,1096_FacultySalaries,PSTree,21575,330.450434053,334.19392704963684,0.0,0.0,184,0.32567998301489776,0.38812852387444347,0.9731616469720458,21.454794597030837,2.520765592612322,0.4889419947748975
354,1096_FacultySalaries,PSTree,22118,353.377275612,363.1002116203308,0.0,0.0,214,0.5596635481616284,0.5366139944447921,0.9671319055767746,1.1505882551657793,0.7974846722585608,0.9622719910297167
355,1096_FacultySalaries,PSTree,23654,347.236217205,348.06273555755615,0.0,0.0,171,0.5805169099452527,0.6005444874518047,0.9757193632482005,0.25204870014972774,0.39204244922209597,0.9785939998147447
356,1096_FacultySalaries,PSTree,29802,319.253354589,321.69662499427795,0.0,0.0,235,0.6796126069283811,0.6874216834162854,0.9733960017228096,0.22789365896045125,0.3536174439925524,0.9697715886982803
357,1096_FacultySalaries,PSTree,5390,364.25260228,365.0504651069641,0.0,0.0,89,0.005883909214539767,0.037200954033822904,0.9997368834339171,32.253211524440985,1.9102469883495772,-1.0708601819486794
358,1096_FacultySalaries,PSTree,6265,338.957665427,339.41964077949524,0.0,0.0,124,0.5636664788050395,0.5135256445933568,0.9733816730968609,4.264238427338378,1.16048230775769,0.7842682394924102
359,1096_FacultySalaries,PSTree,860,365.917762202,366.02256298065186,0.0,0.0,146,0.6407218322552772,0.6143997424165112,0.9721243462763329,1.781350653525987,0.8692110370539012,0.8804196967162069
410,1191_BNG_pbc,PSTree,11284,2470.665141591,2476.802448272705,0.0,0.0,830,787408.115443903,696.6090259455792,0.34807421326295296,791763.257906324,699.804774337722,0.3500282522599285
411,1191_BNG_pbc,PSTree,11964,2481.2878437460004,2481.682559967041,0.0,0.0,923,818790.8194493444,713.7313191513293,0.3443436195713969,808405.5782224308,710.467506015549,0.33795963839455834
412,1191_BNG_pbc,PSTree,15795,2417.3744453629997,2417.579306125641,0.0,0.0,603,799503.6393259962,706.233778336063,0.35696216605443765,800963.0209115995,705.6004335395379,0.34213371685095184
413,1191_BNG_pbc,PSTree,21575,2410.973845905,2411.084921836853,0.0,0.0,623,803717.6282319977,705.533824125986,0.34900858708041815,803328.5481269945,707.6113585955892,0.34174240737771033
414,1191_BNG_pbc,PSTree,22118,2393.4857029570003,2394.9524252414703,0.0,0.0,730,806050.9322389205,706.883919480753,0.3456521325353905,794366.6341248942,704.0565904300232,0.34732341896715246
415,1191_BNG_pbc,PSTree,23654,2552.359895443,2552.4524381160736,0.0,0.0,641,789306.2866956973,704.4377553398251,0.3520869689556534,810662.4425123922,709.4928341120007,0.33423276354033726
416,1191_BNG_pbc,PSTree,29802,2441.872432046,2441.739821434021,0.0,0.0,679,800556.2461104321,702.4911301023704,0.34410799279153514,809622.8465559798,711.0854764562218,0.3333340242134374
417,1191_BNG_pbc,PSTree,5390,2430.013863798,2430.151275873184,0.0,0.0,876,769247.6656178543,691.6842432953608,0.3588378663633729,795251.9959550296,702.4517258448024,0.34456048639411263
418,1191_BNG_pbc,PSTree,6265,2139.798570406,2142.4488990306854,0.0,0.0,885,790927.6967724733,698.7676616428408,0.34087882506979406,805310.2047849095,707.2137678824147,0.3385334838919739
419,1191_BNG_pbc,PSTree,860,2403.9688608650004,2404.105093240738,0.0,0.0,619,813062.97308948,714.0542601393518,0.32124015926634,822536.5108764367,716.4003248765778,0.327429674332372
470,1193_BNG_lowbwt,PSTree,11284,2046.73102645,2047.2435774803162,0.0,0.0,578,217310.7450906969,373.56737752328087,0.5864954415127827,212585.972992072,373.18498151640097,0.6010586161216399
471,1193_BNG_lowbwt,PSTree,11964,2098.46684194,2100.153888463974,0.0,0.0,518,213454.40396182565,371.6430274532148,0.593435158227966,214435.89277628527,374.3807382556492,0.5887770904193802
472,1193_BNG_lowbwt,PSTree,15795,2215.734059266,2219.786010980606,0.0,0.0,506,208012.6858732399,368.4450333721963,0.6024138021256473,215464.09402816248,375.0794352941632,0.595128631420343
473,1193_BNG_lowbwt,PSTree,21575,2217.8901529150003,2228.813494682312,0.0,0.0,777,207963.56098105232,371.3500887934912,0.6032616909564928,207499.9909929248,368.24246439005697,0.5971558833416251
474,1193_BNG_lowbwt,PSTree,22118,2163.429284184,2163.7175238132477,0.0,0.0,833,208027.88181719388,368.7720016117453,0.6072636185810798,218514.79485215966,377.21948952462697,0.587236306268714
475,1193_BNG_lowbwt,PSTree,23654,2245.269070009,2245.369791030884,0.0,0.0,591,213004.00917437853,369.1827704688453,0.5982948211783189,214561.87119174417,371.6468872088238,0.5939436068356531
476,1193_BNG_lowbwt,PSTree,29802,2044.524916195,2044.525321483612,0.0,0.0,310,213156.12251204904,373.5569847783658,0.5945700284157662,216442.00728904956,377.223259919192,0.5899850909880384
477,1193_BNG_lowbwt,PSTree,5390,2217.36628928,2217.649964570999,0.0,0.0,577,210734.6491857569,369.14808269508893,0.5973784379245078,210488.29812874994,370.7360314931512,0.5984624262557402
478,1193_BNG_lowbwt,PSTree,6265,2331.5823155030002,2332.4800927639008,0.0,0.0,485,204449.13710908216,364.16784864939814,0.6112557949347127,213550.67758204756,371.91397745126534,0.5900331294039116
479,1193_BNG_lowbwt,PSTree,860,1948.671099594,1950.9411435127258,0.0,0.0,547,214201.86369540196,373.9809872382394,0.6015107695324651,208366.0809276819,367.76446735515225,0.5989211299667117
530,1196_BNG_pharynx,PSTree,11284,2629.530828433,2629.6710555553436,0.0,0.0,654,88470.02120659563,223.0761477784683,0.4952186873456561,88084.24547245976,221.4868994529839,0.4939965485480077
531,1196_BNG_pharynx,PSTree,11964,2575.688126372,2575.8135850429535,0.0,0.0,611,87961.16856550045,222.02952433263422,0.4858765186643764,89766.78781383132,223.70236384778198,0.48702751942273714
532,1196_BNG_pharynx,PSTree,15795,2552.09989352,2552.2450654506683,0.0,0.0,822,90670.13772059443,225.19368474551175,0.48595156212093493,91234.94563808912,225.8295502429907,0.4787909616131648
